insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('History Practice', 'SOC100', 2.0, 1, 0, 6, 144);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Psychology Applications', 'PHI101', 2.0, 0, 1, 20, 131);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('History Theory', 'MAT102', 3.0, 0, 0, 5, 138);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Computer Science Theory', 'ECO103', 3.5, 1, 1, 13, 166);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Physics Principles', 'CSC104', 3.5, 0, 0, 20, 117);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Mathematics Advanced Concepts', 'HIS105', 3.5, 0, 0, 14, 165);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Sociology Applications', 'ART106', 2.5, 0, 1, 14, 131);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Psychology Laboratory Studies', 'MAT107', 2.0, 1, 0, 7, 83);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Biology Principles', 'BIO108', 3.0, 1, 0, 13, 157);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Biology Methods', 'PSY109', 3.5, 0, 0, 16, 95);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Philosophy Applications', 'CHE110', 3.0, 0, 0, 9, 176);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Psychology Laboratory Studies', 'DAS111', 3.5, 1, 1, 17, 84);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Economics Applications', 'PSY112', 2.0, 0, 0, 9, 76);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Sociology Methods', 'ENG113', 3.5, 1, 1, 5, 35);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Psychology Methods', 'CHE114', 3.0, 1, 0, 19, 116);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Chemistry Foundations', 'ECO115', 2.5, 1, 0, 14, 64);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Data Science Practice', 'ECO116', 2.5, 1, 0, 13, 85);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('English Literature Theory', 'ECO117', 4.0, 0, 1, 12, 192);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Psychology Theory', 'ART118', 3.5, 0, 1, 10, 33);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Philosophy Laboratory Studies', 'ENG119', 3.5, 1, 0, 19, 41);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Philosophy Theory', 'CHE120', 2.0, 1, 1, 9, 44);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Physics Theory', 'DAS121', 2.0, 0, 1, 9, 66);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('English Literature Practice', 'PHY122', 3.5, 1, 0, 12, 84);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Mathematics Theory', 'PHI123', 4.0, 0, 0, 10, 200);
insert into courses (CourseName, CourseCode, Credits, RequiresLab, IsActive, SessionCount, EnrollmentLimit) values ('Psychology Introduction', 'DAS124', 3.5, 1, 1, 8, 94);
